x,y,z
3.964827104268188407e+00,1.086049400553674715e+01,2.000000000000000111e-01
7.737741733272232914e+00,1.459284221486959332e+01,2.000000000000000111e-01
8.064243960782198073e+00,1.459284221486959332e+01,2.000000000000000111e-01
8.427024213571050026e+00,1.459284221486959332e+01,2.000000000000000111e-01
2.985320421738292485e+00,1.365069606494091303e+01,2.000000000000000111e-01
4.472719458172578655e+00,1.365069606494091303e+01,2.000000000000000111e-01
5.960118494606866157e+00,1.365069606494091303e+01,2.000000000000000111e-01
4.726665635124774667e+00,4.446652907945350286e+00,2.000000000000000111e-01
5.524782191260245057e+00,4.482889298327221717e+00,2.000000000000000111e-01
6.322898747395717223e+00,4.519125688709094035e+00,2.000000000000000111e-01
1.078509585669857707e+01,3.685688709926032036e+00,2.000000000000000111e-01
1.227249489313286368e+01,3.685688709926032036e+00,2.000000000000000111e-01
1.379617195484603620e+01,3.685688709926032036e+00,2.000000000000000111e-01
1.216366081729620952e+01,1.144027625164670248e+01,2.000000000000000111e-01
1.310688947454721820e+01,1.028071175942679005e+01,2.000000000000000111e-01
1.405011813179823044e+01,9.121147267206875853e+00,2.000000000000000111e-01
1.024092547751530091e+01,1.567993392632576111e+01,2.000000000000000111e-01
1.176460253922847343e+01,1.567993392632576111e+01,2.000000000000000111e-01
1.328827960094164418e+01,1.567993392632576111e+01,2.000000000000000111e-01
2.949042396459407467e+00,1.368693245532278446e+01,2.000000000000000111e-01
4.472719458172578655e+00,1.368693245532278446e+01,2.000000000000000111e-01
5.996396519885751175e+00,1.368693245532278446e+01,2.000000000000000111e-01
1.590029742102136900e+01,2.581328135693000680e-02,2.000000000000000111e-01
1.691608212883015128e+01,2.581328135693000680e-02,2.000000000000000111e-01
1.793186683663893177e+01,2.581328135693000680e-02,2.000000000000000111e-01
2.767652270064981934e+00,7.889109994223217903e+00,2.000000000000000111e-01
2.876486345901637431e+00,9.374801999879981196e+00,2.000000000000000111e-01
2.985320421738292485e+00,1.089673039591862036e+01,2.000000000000000111e-01
1.288922132287390987e+01,1.205629488813853278e+01,2.000000000000000111e-01
1.383244998012492033e+01,1.086049400553674715e+01,2.000000000000000111e-01
1.481195666265481847e+01,9.700929513316832953e+00,2.000000000000000111e-01
5.960118494606866157e+00,1.792659013000184487e+01,2.000000000000000111e-01
6.322898747395717223e+00,1.792659013000184487e+01,2.000000000000000111e-01
6.685679000184566512e+00,1.792659013000184487e+01,2.000000000000000111e-01
4.799221685682544702e+00,4.446652907945350286e+00,2.000000000000000111e-01
5.742450342933556051e+00,4.446652907945350286e+00,2.000000000000000111e-01
6.721957025463451529e+00,4.482889298327221717e+00,2.000000000000000111e-01
3.783436977873763318e+00,7.852873603841345584e+00,2.000000000000000111e-01
3.892271053710418371e+00,9.338565609498109765e+00,2.000000000000000111e-01
4.001105129547073425e+00,1.082425761515487572e+01,2.000000000000000111e-01
1.074881783141969294e+01,1.466531499563333796e+01,2.000000000000000111e-01
1.176460253922847343e+01,1.466531499563333796e+01,2.000000000000000111e-01
1.278038724703725570e+01,1.466531499563333796e+01,2.000000000000000111e-01
4.908055761519199756e+00,1.792659013000184487e+01,2.000000000000000111e-01
5.234557989029165803e+00,1.792659013000184487e+01,2.000000000000000111e-01
5.561060216539130074e+00,1.792659013000184487e+01,2.000000000000000111e-01
